canonical_name,display_name,category,subcategory,aliases
python,Python,programming_languages,general,py|python3|python 3|python2|python programming|cpython
javascript,JavaScript,programming_languages,general,js|es6|es2015|ecmascript|vanilla js|vanillajs|javascript language
typescript,TypeScript,programming_languages,general,ts|typed javascript|typescript language|ts lang
java,Java,programming_languages,general,java language|java programming|core java|java se|java ee|jakarta ee|java 17|java 21
c,C,programming_languages,systems,c language|c programming|ansi c|c99|c11|c stdlib
cpp,C++,programming_languages,systems,c plus plus|c++ language|cpp language|c++11|c++14|c++17|c++20|c++23
csharp,C#,programming_languages,general,c sharp|c# language|dotnet c#|.net c#|csharp language
go,Go,programming_languages,general,golang|go language|go programming|go lang
rust,Rust,programming_languages,systems,rust language|rust programming|rustlang|rust-lang
ruby,Ruby,programming_languages,general,ruby language|ruby programming|mri ruby|ruby mri
php,PHP,programming_languages,web,php language|php programming|php 8|php 7|php scripting
swift,Swift,programming_languages,mobile,swift language|swift programming|apple swift|swift ios
kotlin,Kotlin,programming_languages,mobile,kotlin language|kotlin programming|jvm kotlin|kotlin android
scala,Scala,programming_languages,general,scala language|scala programming|typesafe scala|scala jvm
r,R,programming_languages,data,r language|r programming|rlang|r statistical computing|r stats
matlab,MATLAB,programming_languages,data,matlab language|mathworks matlab|matlab programming|octave
perl,Perl,programming_languages,general,perl language|perl 5|perl programming|perl scripting
lua,Lua,programming_languages,general,lua language|lua scripting|lua programming
haskell,Haskell,programming_languages,functional,haskell language|functional haskell|haskell programming
elixir,Elixir,programming_languages,functional,elixir language|elixir programming|elixir beam
dart,Dart,programming_languages,mobile,dart language|dart programming|flutter dart|dart sdk
julia,Julia,programming_languages,data,julia language|julia programming|julialang|julia scientific
groovy,Groovy,programming_languages,general,groovy language|groovy jvm|apache groovy|groovy scripting
bash,Bash,programming_languages,scripting,bash scripting|shell scripting|bash script|shell script|sh|bash shell
powershell,PowerShell,programming_languages,scripting,powershell scripting|pwsh|ps1|windows powershell|powershell core
sql,SQL,programming_languages,data,structured query language|sql language|database sql|query language|sql queries
plsql,PL/SQL,programming_languages,data,pl sql|oracle plsql|oracle stored procedures|plsql programming
tsql,T-SQL,programming_languages,data,transact sql|sql server tsql|microsoft sql|mssql syntax|transact-sql
cobol,COBOL,programming_languages,legacy,cobol language|mainframe cobol|cobol programming
objectivec,Objective-C,programming_languages,mobile,objective c|obj-c|objc|ios objective-c|objective-c programming
fsharp,F#,programming_languages,functional,f sharp|f# language|dotnet f#|fsharp language
erlang,Erlang,programming_languages,functional,erlang language|erlang otp|erlang programming
zig,Zig,programming_languages,systems,zig language|zig programming|ziglang
nim,Nim,programming_languages,systems,nim language|nim programming|nimlang
assembly,Assembly,programming_languages,systems,asm|assembly language|x86 assembly|arm assembly|assembly programming
solidity,Solidity,programming_languages,blockchain,solidity language|ethereum solidity|smart contract language|solidity programming
clojure,Clojure,programming_languages,functional,clojure language|clojure lisp|clojure jvm|clojurescript
ocaml,OCaml,programming_languages,functional,ocaml language|ocaml programming|objective caml
prolog,Prolog,programming_languages,logic,prolog language|logic programming|prolog programming
fortran,Fortran,programming_languages,scientific,fortran language|scientific fortran|fortran programming
coffeescript,CoffeeScript,programming_languages,general,coffee script|coffeescript language|coffee js
racket,Racket,programming_languages,functional,racket language|racket lisp|scheme racket
vba,VBA,programming_languages,scripting,visual basic for applications|vba excel|excel vba|vba scripting
fastapi,FastAPI,backend_frameworks,python,fast api|fastapi python|fastapi framework|fastapi rest
flask,Flask,backend_frameworks,python,flask python|flask framework|flask web|flask rest api
django,Django,backend_frameworks,python,django python|django framework|django web|django rest|django orm|drf|django rest framework
expressjs,Express.js,backend_frameworks,nodejs,express|express.js|expressjs|express node|nodejs express|express framework
springboot,Spring Boot,backend_frameworks,java,spring boot|spring-boot|springboot java|spring boot framework
spring,Spring Framework,backend_frameworks,java,spring framework|spring mvc|spring java|springframework|spring data|spring security
nestjs,NestJS,backend_frameworks,nodejs,nest.js|nestjs framework|nest typescript|nestjs rest|nestjs graphql
rails,Ruby on Rails,backend_frameworks,ruby,ror|ruby rails|rails framework|rubyonrails|rails api
laravel,Laravel,backend_frameworks,php,laravel php|laravel framework|laravel api|laravel rest
gin,Gin,backend_frameworks,go,gin go|gin golang|gin framework|gin http
echo,Echo,backend_frameworks,go,echo go|echo golang|echo framework|labstack echo
fiber,Fiber,backend_frameworks,go,fiber go|fiber golang|fiber framework|go fiber
actix,Actix-web,backend_frameworks,rust,actix web|actix-web|actix rust|actix framework|actix-web rust
axum,Axum,backend_frameworks,rust,axum rust|axum framework|axum tokio|tokio axum
rocket,Rocket,backend_frameworks,rust,rocket.rs|rocket rust|rocket framework|rocket web
koa,Koa.js,backend_frameworks,nodejs,koa|koajs|koa node|koa framework
hapi,Hapi.js,backend_frameworks,nodejs,hapijs|hapi node|hapi framework|hapi.js
sinatra,Sinatra,backend_frameworks,ruby,sinatra ruby|sinatra framework|sinatra web
phoenix,Phoenix Framework,backend_frameworks,elixir,phoenix elixir|phoenix framework|elixir phoenix|phoenix liveview
grails,Grails,backend_frameworks,groovy,grails framework|grails groovy|grails web
play_framework,Play Framework,backend_frameworks,scala,play framework|playframework|play scala|play java
micronaut,Micronaut,backend_frameworks,java,micronaut java|micronaut framework|micronaut graal
quarkus,Quarkus,backend_frameworks,java,quarkus java|quarkus framework|red hat quarkus
vertx,Vert.x,backend_frameworks,java,vert.x|vertx java|eclipse vert.x|vertx framework
tornado,Tornado,backend_frameworks,python,tornado python|tornado framework|tornado async
aiohttp,aiohttp,backend_frameworks,python,aio http|aiohttp python|aiohttp framework|aiohttp server
sanic,Sanic,backend_frameworks,python,sanic python|sanic framework|sanic async
falcon,Falcon,backend_frameworks,python,falcon python|falcon framework|falcon api rest
symfony,Symfony,backend_frameworks,php,symfony php|symfony framework|symfony components
codeigniter,CodeIgniter,backend_frameworks,php,code igniter|codeigniter php|codeigniter framework
strapi,Strapi,backend_frameworks,nodejs,strapi cms|strapi headless|strapi api
nodejs,Node.js,backend_frameworks,javascript_runtime,node js|node.js|nodejs runtime|server-side javascript|node server|node backend|javascript server runtime
react,React,frontend_frameworks,javascript,reactjs|react.js|react js|react library|react hooks|react 18|react 19
vuejs,Vue.js,frontend_frameworks,javascript,vue|vue js|vuejs|vue 3|vue 2|vue framework|vue composition api
